"host","name"
"DK01SV8108","TESTCOW/SP Masters/Win2012"
"DK01SV8109","TESTCOW/SP Masters/Win2012"
"DK01SV8970","TESTCOW/SP Masters/Win2012"
"DK01SV8971","TESTCOW/SP Masters/Win2012"
"DK01SV8972","TESTCOW/SP Masters/Win2012"
"DK01SV8973","TESTCOW/SP Masters/Win2012"
"DK01SV8974","TESTCOW/SP Masters/Win2012"
"DK01SV8116","TESTCOW/SP Masters/Win2012"
"DK01SV8118","TESTCOW/SP Masters/Win2012"
"DK01SV8119","TESTCOW/SP Masters/Win2012"
"DK01SV8126","TESTCOW/SP Masters/Win2012"
"DK01SV8127","TESTCOW/SP Masters/Win2012"
"DK01SV8128","TESTCOW/SP Masters/Win2012"
"DK01SV8129","TESTCOW/SP Masters/Win2012"
"DK01SV8136","TESTCOW/SP Masters/Win2012"
"DK01SV8138","TESTCOW/SP Masters/Win2012"
"DK01SV9136","TESTCOW/SP Masters/Win2012"
"DK01SV9137","TESTCOW/SP Masters/Win2012"
"DK01SV9138","TESTCOW/SP Masters/Win2012"
"DK01SV9139","TESTCOW/SP Masters/Win2012"
"DK01SV9147","TESTCOW/SP Masters/Win2012"
"DK01SV9148","TESTCOW/SP Masters/Win2012"
"DK01SV9149","TESTCOW/SP Masters/Win2012"
"DK01SV8137","TESTCOW/SP Masters/Win2016"
"DK01SV8139","TESTCOW/SP Masters/Win2016"
"DK01SV9146","TESTCOW/SP Masters/Win2016"
"DK01SV7900","TESTCOW/Scripted Upgrade"
"DK01SV7901","TESTCOW/Scripted Upgrade"
"DK01SV7902","TESTCOW/Scripted Upgrade"
"DK01SV7903","TESTCOW/Scripted Upgrade"
"DK01SV7904","TESTCOW/Scripted Upgrade"
"DK01SV7905","TESTCOW/Scripted Upgrade"
"DK01SV7906","TESTCOW/Scripted Upgrade"
"DK01SV7910","TESTCOW/Scripted Upgrade"
"DK01SV7911","TESTCOW/Scripted Upgrade"
"DK01SV7912","TESTCOW/Scripted Upgrade"
"DK01SV7913","TESTCOW/Scripted Upgrade"
"DK01SV7915","TESTCOW/Scripted Upgrade"
"DK01SV7916","TESTCOW/Scripted Upgrade"
"DK01SV7920","TESTCOW/Scripted Upgrade"
"DK01SV7921","TESTCOW/Scripted Upgrade"
"DK01SV7922","TESTCOW/Scripted Upgrade"
"DK01SV7923","TESTCOW/Scripted Upgrade"
"DK01SV7924","TESTCOW/Scripted Upgrade"
"DK01SV7925","TESTCOW/Scripted Upgrade"
"DK01SV7926","TESTCOW/Scripted Upgrade"
"DK01SV7930","TESTCOW/Scripted Upgrade"
"DK01SV7931","TESTCOW/Scripted Upgrade"
"DK01SV7932","TESTCOW/Scripted Upgrade"
"DK01SV7933","TESTCOW/Scripted Upgrade"
"DK01SV7934","TESTCOW/Scripted Upgrade"
"DK01SV7935","TESTCOW/Scripted Upgrade"
"DK01SV7936","TESTCOW/Scripted Upgrade"
"DK01SV7937","TESTCOW/Scripted Upgrade"
"DK01SV7938","TESTCOW/Scripted Upgrade"
"DK01SV7939","TESTCOW/Scripted Upgrade"
"DK01SV7940","TESTCOW/Scripted Upgrade"
"DK01SV7941","TESTCOW/Scripted Upgrade"
"DK01SV7942","TESTCOW/Scripted Upgrade"
"DK01SV7943","TESTCOW/Scripted Upgrade"
"DK01SV7944","TESTCOW/Scripted Upgrade"
"DK01SV7945","TESTCOW/Scripted Upgrade"
"DK01SV7946","TESTCOW/Scripted Upgrade"
"DK01SV7947","TESTCOW/Scripted Upgrade"
"DK01SV7948","TESTCOW/Scripted Upgrade"
"DK01SV7949","TESTCOW/Scripted Upgrade"
"DK01SV7950","TESTCOW/Scripted Upgrade"
"DK01SV7951","TESTCOW/Scripted Upgrade"
